id,created_at,text
1193321344194228229,2019-11-10 00:15:53,"b'RT @DonaldJTrumpJr: ""The person who planted fake evidence shouldn\'t be the one ruling on the admissibility of fake evidence,"" Ratcliffe sai\xe2\x80\xa6'"
1193321235565944838,2019-11-10 00:15:28,b'RT @RepRatcliffe: \xf0\x9f\x91\x87\xf0\x9f\x8f\xbbsmart guy https://t.co/cqDMqXSxh6'
1193320949610881024,2019-11-10 00:14:19,"b'RT @ChadPergram: GOP TX Rep Ratcliffe to Taylor: And to your knowledge, nobody in the Ukrainian Government was aware of the hold?\nTaylor: T\xe2\x80\xa6'"
1193320428883845121,2019-11-10 00:12:15,b'A terrible lie. How can she do such a thing? https://t.co/bSvlYI7dqe'
1193317958254239744,2019-11-10 00:02:26,b'Thank you Lee and David! https://t.co/cztdiqqiiH'
1193249691741216768,2019-11-09 19:31:10,b'95% Approval Rating in the Republican Party. Thank you! #MAGA #KAG2020'
1193248307402797056,2019-11-09 19:25:40,b'....Whatever happened to the so-called \xe2\x80\x9cinformer\xe2\x80\x9d to Whistleblower #1? Seems to have disappeared after I released the Transcript of the call. Shouldn\xe2\x80\x99t he be on the list to testify? Witch Hunt!'
1193239922926178304,2019-11-09 18:52:21,"b'I recommend that Nervous Nancy Pelosi (who backed up Schiff\xe2\x80\x99s lie), Shifty Adam Schiff, Sleepy Joe Biden, the Whistleblower (who miraculously disappeared after I released the transcript of the call), the 2nd Whistleblower (who also disappeared), &amp; the I.G., be part of the list!'"
1193224005827940352,2019-11-09 17:49:06,b'PRESIDENTIAL HARASSMENT!'
1193200357243080704,2019-11-09 16:15:08,"b'But the Witch Hunt continues. After 3 years of relentless attacks against the Republican Party &amp; me, the Do Nothing Dems are losers for America! https://t.co/met2y8VoPe'"
1193192673429131264,2019-11-09 15:44:36,b'Bringing the word \xe2\x80\x9cNationalism\xe2\x80\x9d back into the mainstream - great job by Rich Lowry! Very important book. https://t.co/yQI4ylGgDb'
1193190844012122113,2019-11-09 15:37:20,"b'Just finished reading my son Donald\xe2\x80\x99s just out new book, \xe2\x80\x9cTriggered.\xe2\x80\x9d It is really good! He, along with many of us, was very unfairly treated. But we all fight back, and we always win!'"
1193138032276365312,2019-11-09 12:07:28,"b'RT @AmbJohnBolton: As we reflect this week on the horrific 9/11 attack, it\xe2\x80\x99s important to remember how far we\xe2\x80\x99ve come in combatting radical\xe2\x80\xa6'"
1193137619032584193,2019-11-09 12:05:50,"b'RT @trish_regan: \xe2\x80\x9c#Coup has started.\xe2\x80\x9d Those were the words of the so-called \xe2\x80\x9cwhistleblower\xe2\x80\x99s\xe2\x80\x9d attorney, TWO-AND-A-HALF YEARS before the cal\xe2\x80\xa6'"
1193137158829301760,2019-11-09 12:04:00,"b'RT @Varneyco: STU: ""As we start the new week, look beneath the #impeachment headlines, and you\'ll see a full #employment economy that\'s muc\xe2\x80\xa6'"
1193137036007550976,2019-11-09 12:03:31,"b'RT @Varneyco: STU: ""Voters everywhere have been rejecting costly climate dreams!"" #NaturalGas #ClimateChange #Fracking #MyTake #VarneyCo ht\xe2\x80\xa6'"
1193136819740794880,2019-11-09 12:02:39,"b'RT @Varneyco: STU: ""Look what we have now! A growing #economy, full #employment, rapidly rising #wages, #stockmarket record highs! How do y\xe2\x80\xa6'"
1193136682373132289,2019-11-09 12:02:07,"b'RT @Varneyco: STU: ""The #democrats know they can\'t remove @realDonaldTrump  from office but they\'ll go ahead with the #impeachment process\xe2\x80\xa6'"
1193136605067911168,2019-11-09 12:01:48,b'We will win big! https://t.co/ZM01nPimh3'
1193136346438746113,2019-11-09 12:00:47,b'True! https://t.co/dwdOnYAjlw'
1193136022412054528,2019-11-09 11:59:29,"b'RT @Varneyco: STU: ""The #democrats are losing on policy, losing on prosperity, and their socialist front runners are being attacked by thei\xe2\x80\xa6'"
1193135722875760640,2019-11-09 11:58:18,b'RT @cvpayne: All three major equity indices finished higher and at new all-time highs all while there are $360 billion in tariffs current o\xe2\x80\xa6'
1193135282952056832,2019-11-09 11:56:33,"b'RT @RepLeeZeldin: Volker confirmed to me during his interview that in no way, shape or form was there any quid pro quo whatsoever. https://\xe2\x80\xa6'"
1193135105130283008,2019-11-09 11:55:51,"b""RT @RepLeeZeldin: VP Pence traveled to Warsaw to communicate 2 points to Zelensky on 9/1 at POTUS' direction. Here Taylor agrees w/me that\xe2\x80\xa6"""
1193135036939329536,2019-11-09 11:55:34,"b'RT @RepLeeZeldin: This ""evidence"" would be thrown out of court so quickly for all of the right reasons. Here Taylor concedes to me that his\xe2\x80\xa6'"
1193134960661663746,2019-11-09 11:55:16,b'RT @RepLeeZeldin: The Dems/media are desperately relying on Taylor as their star witness to show there was an impeachable offense of quid p\xe2\x80\xa6'
1193134897931653120,2019-11-09 11:55:01,b'RT @RepLeeZeldin: The George Kent transcript was just released &amp; once again there\xe2\x80\x99s ZERO 1st hand info of US $ to Ukraine being linked to s\xe2\x80\xa6'
1193134847042211840,2019-11-09 11:54:49,b'RT @ChadPergram: Zeldin to Kent: Do you have any firsthand knowledge of United States aid to Ukraine ever being connected to the opening of\xe2\x80\xa6'
1193134775818694658,2019-11-09 11:54:32,b'RT @RepLeeZeldin: It appears Ambassador Yovanovitch did not accurately answer this question I asked her during her \xe2\x80\x9cimpeachment inquiry\xe2\x80\x9d de\xe2\x80\xa6'
1193134689449652224,2019-11-09 11:54:11,"b'RT @USAmbIsrael: 24 yrs ago today, the Jerusalem Embassy Act became law. It recognized Jerusalem as the undivided capital of Israel &amp; requi\xe2\x80\xa6'"
1193134604292698114,2019-11-09 11:53:51,"b""RT @RepLeeZeldin: Here's Rush Limbaugh weighing in on some of my deposition exchanges with Bill Taylor from Taylor\xe2\x80\x99s transcript just releas\xe2\x80\xa6"""
1193134510004690944,2019-11-09 11:53:29,b'RT @RepLeeZeldin: Real Cracker Jack reporting here. What actually happened in the room is Adam Schiff made up a new rule that day that NOTH\xe2\x80\xa6'
1193134273529831424,2019-11-09 11:52:32,"b""RT @RogerMarshallMD: A total and complete circus! Just petty politicians trying to undo @realDonaldTrump's victory.\n\nNow, if only the ringl\xe2\x80\xa6"""
1193134163710349313,2019-11-09 11:52:06,"b'RT @RepAndyBiggsAZ: There are probably a myriad of additional reasons that Democrats have been focusing on impeachment, but none of them is\xe2\x80\xa6'"
1193133919878692864,2019-11-09 11:51:08,"b'RT @Scavino45: On Thursday, 11/7/2019, the President signed into law:\n\nS. 693, the \xe2\x80\x9cNational POW/MIA Flag Act,\xe2\x80\x9d which honors service member\xe2\x80\xa6'"
1193133422203604992,2019-11-09 11:49:09,"b'RT @Mediaite: Fox News\xe2\x80\x99 Jesse Watters: Impeachment \xe2\x80\x98Boring\xe2\x80\x99 So Far, \xe2\x80\x98Not a Sexy Scandal,\xe2\x80\x99 Americans Don\xe2\x80\x99t Care About Ukraine\nhttps://t.co/4\xe2\x80\xa6'"
1193133305140563968,2019-11-09 11:48:41,b'RT @JesseBWatters: TOMORROW: I hit the streets for another epic Man On The Street Interview. What does Americans know about Veterans Day? D\xe2\x80\xa6'
1193133005113634816,2019-11-09 11:47:30,b'RT @realDonaldTrump: I will be announcing the winners of the #MAGACHALLENGE and inviting them to the @WhiteHouse to meet with me and perfor\xe2\x80\xa6'
1193132809986203649,2019-11-09 11:46:43,"b'Good luck Vince, this will be great! https://t.co/084GASJN6e'"
1193132447128543232,2019-11-09 11:45:17,b'RT @realDonaldTrump: https://t.co/z0I7wBsgTP'
1193132232048889856,2019-11-09 11:44:26,"b'RT @IvankaTrump: An impactful day in Morocco, where we furthered all 3 pillars of #WGDP \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xb2\xf0\x9f\x87\xa6\xe2\xac\x87\xef\xb8\x8f\n\xf0\x9f\x92\xab Women Prospering in the Workforce \n\xf0\x9f\x92\xab Women\xe2\x80\xa6'"
1193131455796404224,2019-11-09 11:41:21,"b'Fake News is reporting that I am talking to Mark Burnett about doing a big show, perhaps The Apprentice, after the presidency, which I would assume they mean in 5 years. This is not true, never had such a conversation, don\xe2\x80\x99t even have time to think about it. False reporting!'"
1193128529602498560,2019-11-09 11:29:43,b'RT @realDonaldTrump: THANK YOU! #MAGA https://t.co/e6dZshYFMV'
1193030111383228416,2019-11-09 04:58:38,"b""\xe2\x80\x9cMark Levin blasts Adam Schiff, claims 'the law is on the president's side' on Ukraine\xe2\x80\x9d https://t.co/GhO065fd8X"""
1192973731712425984,2019-11-09 01:14:36,"b""RT @HomelandGOP: Democrats are so obsessed with impeaching President Trump that they're doing nothing to fix real problems Americans care a\xe2\x80\xa6"""
1192973540930326528,2019-11-09 01:13:51,"b'RT @RepDougCollins: Nadler says he is only concerned about the \xe2\x80\x9cappearance of an open mind,\xe2\x80\x9d admitting this impeachment process is pre-bake\xe2\x80\xa6'"
1192971898310803456,2019-11-09 01:07:19,b'RT @Jim_Jordan: The \xe2\x80\x9cWhistleblower\xe2\x80\x99s\xe2\x80\x9d lawyer called for a \xe2\x80\x9ccoup\xe2\x80\x9d almost as soon as President Trump took office.\n\nAll the more reason why we\xe2\x80\xa6'
1192971266040434689,2019-11-09 01:04:48,b'RT @Jim_Jordan: Republicans only have til Saturday to request witnesses for ALL open hearings.\n\n-@RepAdamSchiff decides WHICH witnesses tes\xe2\x80\xa6'
1192922874027233280,2019-11-08 21:52:31,"b'RT @TrumpWarRoom: ""Democrats want to invest in green global projects. I want to invest in Black American communities."" - @realDonaldTrump #\xe2\x80\xa6'"
1192922863042351105,2019-11-08 21:52:28,"b'RT @TrumpWarRoom: ""We created 9,000 opportunity zones...8 million African-Americans live in opportunity zones, yet every Democrat voted aga\xe2\x80\xa6'"
1192922156734136320,2019-11-08 21:49:40,"b'RT @GOP: As the Black Voices for Trump coalition launches TODAY in Atlanta, remember that with @realDonaldTrump as President:\n \nOver 1.2 mi\xe2\x80\xa6'"
1192854195625316352,2019-11-08 17:19:37,b'I will be announcing the winners of the #MAGACHALLENGE and inviting them to the @WhiteHouse to meet with me and perform. Good luck! https://t.co/3PYzOvYz17'
1192640102943674368,2019-11-08 03:08:53,b'https://t.co/z0I7wBsgTP'
1192594646691729408,2019-11-08 00:08:15,b'STATEMENT FROM PRESIDENT DONALD J. TRUMP https://t.co/EktztHfLk6'
